ID,WorkType,Type,Filepath,location
40095,Merged Areas Development Partners Inaugural Session,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-review-meeting-840x601-840x620.jpg,Khyber Pakhtunkhwa,
40096,President of Pakistan Dr. Arif Alvi Visited Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/11/banner-WRRA-840x620-840x620.png,Khyber Pakhtunkhwa,
40097,Review Meeting on Progress of Development Projects in the First Quarter of Financial Year 2021-22,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/2-8-840x471-840x620.jpg,Khyber Pakhtunkhwa,
40098,Meeting on Khyber Pakhtunkhwa Water Resources Regulatory Authority,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-weekly-review-meeting-840x620-840x620.png,Khyber Pakhtunkhwa,
40099,Meeting on Affordable Housing Scheme in Khyber Pakhtunkhwa,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-roads-pdwp7th-840x620.jpg,Khyber Pakhtunkhwa,
40100,Weekly Coordination Review Meeting,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-BOS-840x542-840x620.png,Khyber Pakhtunkhwa,
40101,Various Roads Schemes are Approved in 7th PDWP Held on 18th October 2021,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/chashma-right-bank-canal-840x620.jpg,Khyber Pakhtunkhwa,
40102,Briefing on Bureau of Statistics,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/new-balakot-city-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40103,Meeting on Chashma Right Bank Canal,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-shani-rehmatullilalalmin-840x488-840x620.png,Khyber Pakhtunkhwa,
40104,Meeting on to Establish New Balakot City to Promote Tourism,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2021/10/banner-weekly-review-840x620-840x620.jpg,Khyber Pakhtunkhwa,
